year,t,gdp_nom_bn,gdp_real_idx,human_nom_bn,human_pct_gdp,total_displaced_m,human_workers_m,net_without_income_m,know_auto_pct,phys_auto_pct,labor_income_bn,capital_income_bn,yeomen_income_bn,dao_income_bn,govt_dao_income_bn,govt_dao_cost_bn,compute_pool_bn,compute_dividend_k,yeomen_effective,levy_multiplier,labor_share_pct,gini_proxy,mpc_aggregate,tax_total_bn,tax_k_effective,tax_lost_leakage_bn,redistributable_bn,ubi_per_person_k,existing_spending_bn,interest_burden_bn,debt_gdp_ratio,interest_pct_revenue,fiscal_space_bn,effective_welfare_k,home_prod_avg_k,human_wage_k,r_ai_pct,r_yeomen_pct,r_land_pct,r_energy_pct,r_blended_pct,implied_pe,land_price_idx,energy_price_idx,nom_gdp_bn,nom_know_bn,nom_ai_svc_bn,nom_phys_bn,nom_energy_bn,energy_phase,nom_scarcity_bn,yeomen_friction_cost_bn,ai_svc_auto_pct
2025.0,0.0,29823.06822208,95.09906958571428,1823.0682220800004,6.11294655702213,0.0,0.1,0.0,0.0,0.0,13694.2919421056,8884.624000000002,772.576,0.0,0.0,0.0,0.0,0.0,0.08,1.0,60.65079464939331,0.5522549155021184,59.21838845002182,7731.81436132224,0.21,0.0,0.0,0.0,7941.9596677472,1530.0,1.1400570775218741,19.788369566316778,-210.14530642495993,2.4000000000000004,2.4000000000000004,14949.159421056002,28.000000000000004,8.0,7.000000000000001,7.000000000000001,16.352000000000004,6.11545988258317,100.0,100.0,29823.06822208,9240.0,4200.0,6160.0,1120.0,1,1400.0,139.06368,0.0
2026.0,1.0,30413.933213546097,102.31837796569228,1900.3804122950564,6.248387536567101,5.237712689340093,2.6188563446700464,2.6188563446700464,4.361950643218316,3.535248313226589,13827.609261240834,9293.563478092155,1113.562477218209,0.0,0.0,0.0,0.0,0.0,0.107,1.0,59.80496498656296,0.5517187832149338,58.667962802100924,8030.969340538961,0.22399999999999998,0.0,0.0,0.0,8068.995640912411,1530.0,1.1179086822238664,19.05124942112307,-38.026300373449885,2.4000000000000004,2.4000000000000004,595.0352875420053,26.717549123895836,8.0,7.000000000000001,8.200000000000001,14.998212770829063,6.667461085396527,103.49999999999999,117.14285714285712,30413.933213546097,9391.911590062236,4266.465211188805,6326.936000000001,1193.64,1,1484.0,200.44124589927762,5.116359947244006
2027.0,2.0,31008.56857332928,109.82368667803495,1992.1225399274113,6.424425994435783,12.466157794863307,6.233078897431653,6.233078897431653,10.724287936935168,7.769631373025362,13813.921772408903,9851.088055052594,1524.3023087494776,0.0,0.0,0.0,0.0,0.0,0.134,1.0,58.37277006485273,0.5538485449924162,57.921339763033195,8338.306628239308,0.238,0.0,141.464384973513,22.695747527245892,8196.842243265795,1530.0,1.0964711227993824,18.349049371947483,141.464384973513,25.09574752724589,2.4000000000000004,262.07601566114926,25.51341635491645,8.0,7.000000000000001,9.4,13.867455477154106,7.211128253827436,107.12249999999999,134.28571428571428,31008.56857332928,9530.990142218585,4325.077955902436,6498.395965600002,1272.12183,1,1573.0400000000002,274.3744155749059,12.790366444886688
2028.0,3.0,31614.500599840372,117.61120302756207,2107.133816714175,6.665086516422196,21.9515296060849,10.97576480304245,10.97576480304245,19.43072054227204,12.716685369472353,13644.780427890264,10568.394342296866,2028.023228974726,0.0,0.0,0.0,0.0,0.0,0.16099999999999998,1.0,56.35271110623059,0.5584376281121959,57.02589058906605,8659.582455592521,0.252,0.0,332.4648266268414,30.29081185619822,8327.11762896568,1530.0,1.0754558621802703,17.668288371247016,332.4648266268414,32.69081185619822,2.4000000000000004,157.42408485526843,24.382818877581027,8.0,7.000000000000001,10.600000000000001,12.92877568245341,7.734684432317698,110.87178749999997,151.42857142857142,31614.500599840372,9653.897511621306,4374.17914436669,6674.502496267763,1355.7638403224998,1,1667.4224000000004,365.04418121545064,23.387582965198536
2029.0,4.0,32239.495694023084,125.67582105500594,2249.897126488171,6.9786982645180835,33.488609798572064,16.744304899286032,16.744304899286032,30.359486877129765,18.330985387078893,13356.339826211772,11414.991086205247,2642.8797096140224,0.0,0.0,0.0,0.0,0.0,0.188,1.0,53.91853943348961,0.5644631174765393,56.118592923325885,9002.155033087263,0.266,0.0,540.6634588722991,32.28939404318615,8461.491574214964,1530.0,1.0546070671416643,16.99593035641479,540.6634588722991,34.68939404318615,2.4000000000000004,110.18167996922742,23.321265958594655,8.0,7.000000000000001,11.8,12.155482854226065,8.226740245471472,114.75230006249997,168.57142857142858,32239.495694023084,9760.883226711592,4414.982937091912,6855.38151391662,1444.905312823704,1,1767.4677440000005,475.71834773052404,36.465608192477546
2030.0,5.0,32894.91008069202,134.0247215588474,2419.988913710721,7.356727553820422,46.219381727815744,23.109690863907872,23.109690863907872,42.6830475639887,24.496427718793655,13040.807887947318,12309.965724898195,3371.519274972117,0.0,0.0,0.0,0.0,0.0,0.21499999999999997,1.0,51.44145929077051,0.5700915857645826,55.38076958913143,9372.857556117602,0.27999999999999997,0.0,770.4518887688191,33.338909347856806,8602.405667348783,1530.0,1.033594556622808,16.323730418813195,770.4518887688191,35.738909347856804,2.4000000000000004,85.86834505614104,22.324541109655186,8.0,7.000000000000001,13.0,11.524565582928707,8.677116658360607,118.76863056468746,185.7142857142857,32894.91008069202,9857.945200415617,4452.581759924038,7041.162352943761,1539.9078371418623,1,1873.5158086400006,606.873469494981,50.53890773307798
2031.0,6.0,33590.00589571434,142.65608671175855,2607.7875553953463,7.763581713833719,58.85064901132468,29.42532450566234,29.42532450566234,55.006608250847655,31.027366840551007,12815.6793287909,13146.546716264816,4197.182460865548,0.0,0.0,0.0,0.0,0.0,0.242,1.0,49.3627907967142,0.5733607297956937,54.94924834278071,9774.434896852294,0.294,0.0,1022.5836292737113,34.751821652024084,8751.851267578582,1530.0,1.0122058360322577,15.653078834181125,1022.5836292737113,37.15182165202408,2.4000000000000004,72.67161301866672,21.388685339561302,8.0,7.000000000000001,14.200000000000001,11.016187965809584,9.077550266059841,122.9255326344515,202.85714285714283,33590.00589571434,9955.972355909089,4494.116918230947,7231.977852708538,1641.1567774339396,1,1985.9267571584007,755.4928429557986,63.61693296035698
2032.0,7.0,34327.41216225013,151.53690988492184,2797.9935819015777,8.150901584648237,70.20822191525846,35.10411095762923,35.10411095762923,65.93537458570538,37.68652158287077,12773.065552332175,13837.581656685676,5092.0786123781745,0.0,0.0,0.0,0.0,0.0,0.26899999999999996,1.0,47.99983048891656,0.5730547271177925,54.85227622952807,10203.99757453348,0.308,0.0,1293.6039596497012,36.850497687039706,8910.393614883778,1530.0,0.990462078507328,14.994123517027106,1293.6039596497012,39.250497687039704,2.4000000000000004,65.35857694640342,20.509981429099035,8.0,7.000000000000001,15.400000000000002,10.613254469350888,9.42218056570503,127.22792627665729,220.00000000000003,34327.41216225013,10066.30570268782,4545.137150474693,7427.964452516939,1749.062835550221,1,2105.0823625879048,916.5741502280714,74.21414948066882
2033.0,8.0,35103.96967236412,161.0045331909815,2977.1663127627407,8.480996139609074,79.66265842411025,39.831329212055124,39.831329212055124,74.64180719104225,44.21746070462812,12950.899445241546,14343.872028936912,6030.946193984837,0.0,0.0,0.0,0.0,0.0,0.296,1.0,47.44827945342361,0.5690355712381304,55.030064163823155,10654.841029654697,0.32199999999999995,0.0,1577.4875500964117,39.60419050286121,9077.353479558285,1530.0,0.9685514292922482,14.35966989785848,1577.4875500964117,42.004190502861206,2.4000000000000004,61.29035673071599,19.6849391662467,8.0,7.000000000000001,16.6,10.301034018131586,9.707763300653397,131.6809036963403,237.14285714285714,35103.96967236412,10196.116261198478,4607.578293271444,7629.262289180148,1864.063716987648,2,2231.387304343179,1085.5703149172707,81.88815597831152
2034.0,9.0,35853.18134650281,170.77641845033617,3133.082292557028,8.738645149163688,87.14320367033962,42.81879133161271,44.32441233872691,81.0041444847591,50.38290303634289,13324.033196918426,14642.508631940058,6986.012242417485,0.0,0.0,0.0,0.0,0.0,0.32299999999999995,1.0,47.64276283587357,0.5618635601846377,55.40392046338736,11102.580262701022,0.33599999999999997,0.0,1864.1462732029177,41.29729909784391,9238.433989498104,1530.0,0.9483119411749615,13.780580403818524,1864.1462732029177,43.69729909784391,2.4000000000000004,60.0,18.91028148305236,8.0,7.000000000000001,17.8,10.066835300592778,9.933608429464577,136.2897353257122,254.28571428571428,35853.18134650281,10347.103743738857,4680.49345144555,7836.015297216932,1930.2379789407096,2,2365.27054260377,1257.4822036351472,87.00451592555551
