year,t,gdp_nom_bn,gdp_real_idx,know_nom_bn,phys_nom_bn,human_nom_bn,total_displaced_m,human_workers_m,net_without_income_m,know_auto_pct,phys_auto_pct,labor_income_bn,capital_income_bn,labor_share_pct,gini_proxy,tax_total_bn,tax_corp_bn,tax_labor_bn,tax_vat_bn,tax_wealth_bn,existing_spending_bn,redistributable_bn,ubi_per_person_k,human_wage_k,r_ai_pct,r_land_pct,r_energy_pct,r_blended_pct,implied_pe,land_price_idx,energy_price_idx
2025.0,0.0,28000.0,100.0,11200.0,8400.0,1960.0000000000002,1.1838354882009856,8.0,1.1838354882009856,0.9668509514921999,0.7620356298853149,13097.101240171713,8462.898759828287,60.74722282083355,0.4881697756706659,8910.289875982828,2962.0145659399004,3274.275310042928,2184.0,490.0,7560.000000000001,1350.2898759828267,1140.6060127786786,200.9,28.000000000000004,7.000000000000001,7.000000000000001,17.200000000000003,5.813953488372092,100.0,100.0
2026.0,1.0,26780.889501801914,103.0322413681523,10080.0,7896.0,2236.089501801916,1.7825721224893645,8.444799999999999,1.3377721224893655,1.5827864766640571,1.0046341551425677,12319.537435892695,7892.552065909221,60.951330315425345,0.48745131728970276,8440.78696318195,2762.393223068227,3079.8843589731737,2088.9093811405496,509.6,7230.840165486517,1209.946797695433,904.4491041149284,217.12691733108792,26.717549123895836,7.000000000000001,8.200000000000001,15.978111409726456,6.258561943630357,103.49999999999999,117.14285714285712
2027.0,2.0,25711.28928882956,106.35814742698662,9072.0,7422.24,2516.873288829562,2.703908220813697,8.914330879999998,1.789577340813699,2.579476306119356,1.3229457506371258,11614.57776150994,7396.535527319622,61.09362237262752,0.48695044924835107,8027.896439468059,2588.7874345618675,2903.644440377485,2005.4805645287058,529.9840000000002,6942.048107983982,1085.8483314840769,606.7624498365378,231.51890193694956,25.51341635491645,7.000000000000001,9.4,14.924258363098284,6.700500458184238,107.12249999999999,134.28571428571428
2028.0,3.0,24779.17700078466,109.99356263615124,8164.800000000001,6976.905599999999,2803.29188078466,4.118179231869205,9.409967676927996,2.708211554941209,4.173476839625876,1.739493605216522,10969.340528525041,6975.656952259619,61.127567949067206,0.48683096081928345,7667.7742314833295,2441.4799332908665,2742.3351321312603,1932.7758060612034,551.18336,6690.377790211859,977.3964412714704,360.90106752856246,244.28344720880708,24.382818877581027,7.000000000000001,10.600000000000001,14.017996738905156,7.133686921360368,110.87178749999997,151.42857142857142
2029.0,4.0,23973.76913402028,113.95267410649778,7348.320000000001,6558.291263999999,3096.2947596202816,6.267306883356111,9.933161879765192,4.334145003590919,6.675519841869433,2.282707183140811,10370.609680472913,6632.296343147368,60.99316002844547,0.48730407669987197,7357.140827073389,2321.3037201015786,2592.6524201182283,1869.9539924535818,573.2306944000002,6472.917666185476,884.2231608879129,204.01328523972265,255.6045832758188,23.321265958594655,7.000000000000001,11.8,13.24139072484883,7.552076823194993,114.75230006249997,168.57142857142858
2030.0,5.0,23285.40579166598,118.24741351421312,6613.488000000001,6164.793788159998,3396.84363089798,9.464957905361437,10.485445680280135,6.979512225081303,10.489857137946345,2.98790744693761,9806.002675690836,6369.122743367144,60.62396687284497,0.4886036366075857,7093.115203027155,2229.1929601785,2451.500668922709,1816.2616517499464,596.159922176,6287.059563749815,806.0556392773397,115.48882117875367,265.6455302205072,22.324541109655186,7.000000000000001,13.0,12.578703640384422,7.949944832068868,118.76863056468746,185.7142857142857
2031.0,6.0,22705.44703121573,122.88681668886481,5952.1392000000005,5794.906160870398,3705.9156902851687,14.053229323489505,11.06843646010371,10.984792863385795,16.05344609495936,3.898043961123074,9266.850850556499,6186.110200599069,59.9681240370662,0.490912203389527,6872.882470346664,2165.138570209674,2316.7127126391247,1771.0248684348267,620.0063190630402,6130.470698428247,742.4117719184178,67.58541386729321,274.55105126974405,21.388685339561302,7.000000000000001,14.200000000000001,12.016126965872948,8.322149082146886,122.9255326344515,202.85714285714283
2032.0,7.0,22226.17967759324,127.8763633122999,5356.925280000001,5447.211791218174,4024.506906713704,20.280973431628432,11.683841527285475,16.59713190434296,23.666845080559572,5.063820271289908,8752.959077508214,6075.684900423664,59.02737357869301,0.4942236450030006,6693.178071203171,2126.4897151482824,2188.2397693770536,1733.642014852273,644.8065718255617,6001.068512950175,692.1095582529961,41.700551772556096,282.449539887927,20.509981429099035,7.000000000000001,15.400000000000002,11.541542850215897,8.664352877061786,127.22792627665729,220.00000000000003
2033.0,8.0,21840.733583044424,133.21732653053388,4821.232752000001,5120.379083745083,4353.63533364475,28.10827715029985,12.333463116202545,23.774814034097304,33.2235788542368,6.5426568363271125,8277.1637316389,6018.083437750934,57.90150833741895,0.49818669065228527,6549.796190298602,2106.3292032128265,2069.290932909725,1703.5772194774652,670.5988346985843,5896.998067421995,652.7981228766066,27.45754906601491,289.4548708625714,19.6849391662467,7.000000000000001,16.6,11.144315954624037,8.973184214012495,131.6809036963403,237.14285714285714
2034.0,9.0,21543.006417298668,138.90616911411925,4339.109476800001,4813.156338720378,4694.344459850607,37.05328591003855,13.019203665463404,32.034082244575146,44.0,8.395759234435232,7864.555327430083,5982.054947940903,56.7976939556015,0.5020721172762828,6437.63535227266,2093.719231779316,1966.1388318575207,1680.354500549296,697.4227880865276,5816.611732670641,621.0236196020196,19.386340300327713,295.66804206995124,18.91028148305236,7.000000000000001,17.8,10.815111003120451,9.246322110900877,136.2897353257122,254.28571428571428
2035.0,10.0,21327.596163414033,144.93402813929526,3905.1985291200012,4524.366958397155,5047.706611130637,46.275818030844405,13.74307138926317,40.532746641581234,54.7764211457632,10.682491884210785,7542.571801513359,5934.700297134434,55.96512221690711,0.505002769796487,6351.660254731674,2077.1451039970516,1885.6429503783397,1663.5525007462945,725.3196996099888,5758.450964121789,593.2092906098851,14.63530946608318,301.17863059059897,18.18293143911961,7.000000000000001,18.0,10.395732859779901,9.619331445779109,141.0598760621121,257.1428571428571
2036.0,11.0,21189.740577588203,151.28633291918936,3514.6786762080005,4252.904940893325,5414.826414425315,54.92882871192763,14.5071861585062,48.42164255342143,64.33315491944043,13.45149557801644,7327.181519024754,5855.228512501887,55.58301935307198,0.5063477718771866,6288.257611778117,2049.3299793756605,1831.7953797561886,1652.7997650518798,754.3324875943883,5721.229955948816,567.0276558293017,11.710211094217332,306.06608416790044,17.5,7.000000000000001,18.0,9.998986346436725,10.001013756323045,145.99697172428603,257.1428571428571
2037.0,12.0,21125.26294588907,157.94260003663337,3163.2108085872014,3997.730644439726,5796.844335879348,62.50792987177104,15.313785708919141,55.1941441628519,71.94655390504063,16.728767281471534,7216.642700122202,5741.143088784074,55.6934866626726,0.5059589269473924,6245.837052982488,2009.4000810744258,1804.1606750305505,1647.7705097793475,784.505787098164,5703.82099539005,542.0160575924383,9.820173241443955,310.4008666291155,16.85877456194792,7.000000000000001,18.0,9.648553359550407,10.364248014549995,151.10686573463602,257.1428571428571
2038.0,13.0,21130.523538155998,164.87644398945434,2846.889727728481,3757.866805773342,6194.940304531723,68.93009666024814,16.165232194335044,60.76486446591309,77.51014286205364,20.504365311827364,7196.665148732309,5603.031689301237,56.225278143681045,0.5040870209342427,6224.294232996768,1961.0610912554328,1799.1662871830772,1648.1808359761678,815.8860185820905,5705.24135530212,519.0528776946485,8.541990215181317,314.24547378269017,16.256708177458222,7.000000000000001,18.0,9.338885147144877,10.707916247430498,156.39560603534827,257.1428571428571
2039.0,14.0,21202.376219984846,172.05583177381726,2562.200754955633,3532.3947974269413,6610.337433477374,74.37521116080025,17.06401910434007,65.31119205646019,81.32448015813057,24.72122726085349,7249.8824837261955,5455.050502133753,57.06352400122856,0.5011363955156755,6224.045101162555,1909.2676757468134,1812.4706209315489,1653.785345158818,848.5214593253742,5724.641579395909,499.403521766646,7.64652283998923,317.65533443834465,15.691409438790515,7.000000000000001,18.0,9.065107871528852,11.03130833269773,161.86945224658544,257.1428571428571
