year,t,gdp_nom_bn,gdp_real_idx,know_nom_bn,phys_nom_bn,human_nom_bn,total_displaced_m,human_workers_m,net_without_income_m,know_auto_pct,phys_auto_pct,labor_income_bn,capital_income_bn,labor_share_pct,gini_proxy,tax_total_bn,tax_corp_bn,tax_labor_bn,tax_vat_bn,tax_wealth_bn,existing_spending_bn,redistributable_bn,ubi_per_person_k,human_wage_k,r_ai_pct,r_land_pct,r_energy_pct,r_blended_pct,implied_pe,land_price_idx,energy_price_idx
2025.0,0.0,28000.0,100.0,11200.0,8400.0,1960.0000000000002,0.17901427912994486,8.0,0.17901427912994486,0.0801725051072568,0.18951574289487494,13184.579200662954,8375.420799337046,61.152964752611105,0.48674156407080893,7645.228960033148,1675.0841598674092,3296.1448001657386,2184.0,490.0,7560.000000000001,85.2289600331469,0.0,200.9,28.000000000000004,7.000000000000001,7.000000000000001,17.200000000000003,5.813953488372092,100.0,100.0
2026.0,1.0,27215.384606486896,104.70384396731806,10080.0,7896.0,2670.584606486897,0.2554530282103099,8.102181211284124,0.15327181692618563,0.13210403859285527,0.25052831316164703,12798.096330012959,7848.488276473939,61.986505632471335,0.4838075001737009,7401.621737104006,1569.6976552947879,3199.5240825032397,2122.799999305978,509.6,7348.153843751463,53.46789335254289,0.0,270.2826955128271,26.717549123895836,7.000000000000001,8.200000000000001,15.978111409726456,6.258561943630357,103.49999999999999,117.14285714285712
2027.0,2.0,26576.731069226422,109.93816177146034,9072.0,7422.24,3382.315069226425,0.36856129093275536,8.147424516373102,0.22113677455965375,0.21759083778386012,0.33108732457558765,12495.500676696462,7381.0543925299635,62.865524901960654,0.4807133523450985,7203.055071079769,1476.2108785059927,3123.8751691741154,2072.985023399661,529.9840000000002,7175.717388691134,27.337682388634676,0.0,340.4141211976905,25.51341635491645,7.000000000000001,9.4,14.924258363098284,6.700500458184238,107.12249999999999,134.28571428571428
2028.0,3.0,26073.586480621645,115.73938341917274,8164.800000000001,6976.905599999999,4097.7013606216415,0.5378092861594774,8.215123714463791,0.322685571695686,0.3581721189988592,0.4373833757504668,12270.354762769537,6969.052197852105,63.777198475420526,0.47750426136651974,7046.322235751294,1393.810439570421,3067.5886906923843,2033.7397454884883,551.18336,7039.868349767845,6.453885983449254,0.0,409.01576561699574,24.382818877581027,7.000000000000001,10.600000000000001,14.017996738905156,7.133686921360368,110.87178749999997,151.42857142857142
2029.0,4.0,25696.711391622586,122.14220310743653,7348.320000000001,6558.291263999999,4819.237017222586,0.7936684258662504,8.3174673703465,0.47620105551974967,0.5889708813370673,0.5775146739118155,12116.640053445703,6609.208227776883,64.70542680619552,0.47423689764219173,6928.575841863364,1321.8416455553768,3029.1600133614256,2004.3434885465615,573.2306944000002,6938.112075738099,0.0,0.0,475.11750610665655,23.321265958594655,7.000000000000001,11.8,13.24139072484883,7.552076823194993,114.75230006249997,168.57142857142858
2030.0,5.0,25437.970333662284,129.17851739064074,6613.488000000001,6164.793788159998,5549.408172894282,1.1838354882009856,8.473534195280394,0.7103012929205921,0.9668509514921999,0.7620356298853149,12028.57515931187,6299.11480174241,65.63061239508188,0.47098024436931174,6847.288358378108,1259.8229603484822,3007.1437898279673,1984.1616860256584,596.159922176,6868.251990088817,0.0,0.0,537.02677028292,22.324541109655186,7.000000000000001,13.0,12.578703640384422,7.949944832068868,118.76863056468746,185.7142857142857
2031.0,6.0,25290.2338008711,136.8762447545511,5952.1392000000005,5794.906160870398,6290.702459940543,1.7825721224893645,8.713028848995746,1.0695432734936183,1.5827864766640571,1.0046341551425677,12000.413106058855,6037.334714752085,66.52944272906096,0.46781636159370543,6800.214774996117,1207.4669429504172,3000.103276514714,1972.638236467946,620.0063190630402,6828.363126235197,0.0,0.0,592.030177628276,21.388685339561302,7.000000000000001,14.200000000000001,12.016126965872948,8.322149082146886,122.9255326344515,202.85714285714283
2032.0,7.0,25247.290582168025,145.25805828841058,5356.925280000001,5447.211791218174,7045.617811288488,2.703908220813697,9.081563288325478,1.6223449324882186,2.579476306119356,1.3229457506371258,12026.239320148958,5823.515562357706,67.37481494457418,0.4648406513950989,6785.358179743449,1164.703112471541,3006.5598300372394,1969.2886654091058,644.8065718255617,6816.768457185367,0.0,0.0,636.1687323903283,20.509981429099035,7.000000000000001,15.400000000000002,11.541542850215897,8.664352877061786,127.22792627665729,220.00000000000003
2033.0,8.0,25303.769445499755,154.3400776286842,4821.232752000001,5120.379083745083,7816.67119610008,4.118179231869205,9.647271692747683,2.470907539121522,4.173476839625876,1.739493605216522,12099.842254500447,5658.440777344719,68.13632958097536,0.46216011987496675,6800.94157054162,1131.688155468944,3024.9605636251117,1973.6940167489809,670.5988346985843,6832.017750284934,0.0,0.0,664.402391156924,19.6849391662467,7.000000000000001,16.6,11.144315954624037,8.973184214012495,131.6809036963403,237.14285714285714
2034.0,9.0,25455.069278010058,164.13058091574658,4339.109476800001,4813.156338720378,8606.407320561995,6.267306883356111,10.506922753342444,3.7603841300136676,6.675519841869433,2.282707183140811,12214.830742969858,5543.842393112515,68.78233891332545,0.45988616702509444,6845.394356136279,1108.7684786225032,3053.7076857424645,1985.4954036847846,697.4227880865276,6872.868705062716,0.0,0.0,671.6765858600982,18.91028148305236,7.000000000000001,17.8,10.815111003120451,9.246322110900877,136.2897353257122,254.28571428571428
