month,year,know_auto_pct,phys_auto_pct,unemployment_rate,total_pop_m,employed_m,unemployed_m,total_income_bn,total_consumption_bn,total_human_svc_bn,total_auto_goods_bn,total_wealth_bn,total_debt_bn,aggregate_mpc,human_svc_share,gini,enterprise_revenue_bn,yeomen_share,platform_share,yeomen_alive_pct,firms_alive,firms_dead,mpc_transitional,mpc_knowledge_high_exposure,mpc_creative_craft,mpc_physical_high_exposure,mpc_knowledge_low_exposure,mpc_small_business_owner,mpc_non_labour,mpc_skilled_physical,mpc_care_low_exposure
10,2026.8333333333333,8.995356360975089,1.497630784971319,0.19344291426032936,117.05200000000039,94.40912000000024,22.642880000000147,5.811701219347679,5.138602975053308,0.887180633643634,4.251422341409669,31.805913000773607,3.248462133200408,0.884182235305978,0.1726501615226326,0.41704920536950374,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8863839625986764,0.8203977055482904,0.850975978507227,0.8761797413649212,0.8082228610762948,0.7924764029105921,0.9904034991503208,0.8173522203691852,0.8464116321179065
11,2026.9166666666667,9.563764590592982,1.5836381851440424,0.1935495335406493,117.05200000000039,94.39664000000023,22.655360000000158,5.811477466086675,5.138448947620029,0.8871663000084712,4.251282647611561,31.790556667054872,3.193177799439936,0.8841897740472786,0.17265254730600746,0.41719866288821505,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8865876570264657,0.8207022046289648,0.8514011617969784,0.8759401955736194,0.8086285425889033,0.7927118462245596,0.9902546210552307,0.8178047389638441,0.8450491882999615
12,2027.0,10.147713316669837,1.6714459192484363,0.19520213238560694,117.05200000000039,94.20320000000025,22.84880000000014,5.802671018733329,5.131936580965247,0.8858606898236459,4.246075891141608,31.77652312223206,3.1391367716481655,0.884409363273795,0.17261723247114397,0.41689456032154026,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8869927415812834,0.8209391875462625,0.8517481946756746,0.8757753913985822,0.8082656894870425,0.7928780407139927,0.9903723916516105,0.8182041472411685,0.8456055633388898
13,2027.0833333333333,10.747320913994287,1.7610864515419884,0.19520213238560694,117.05200000000039,94.20320000000025,22.84880000000014,5.802671018733329,5.132502139620577,0.8859001415631673,4.246601998057398,31.763636093654544,3.0860248348937356,0.88450682850205,0.17260589814944685,0.41689456032154026,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8871892316584732,0.8212472983777319,0.852170095576928,0.8759005852946075,0.8086748916812001,0.7936492829038636,0.9898960152329895,0.8186805020029247,0.846196234115835
14,2027.1666666666667,11.362684285394518,1.8525925969579453,0.19582407818747266,117.05200000000039,94.13040000000026,22.921600000000126,5.799265153579563,5.130608760557895,0.8858397671245892,4.244768993433304,31.751958045415726,3.0339878963439713,0.8846998067317299,0.17265782843053196,0.4171177339420761,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8873543058575225,0.8216244486914851,0.8525621880082855,0.8763205003395478,0.8090517954493824,0.7936782574513513,0.9897332377857097,0.8191228995279062,0.8465880898627247
15,2027.25,11.993877430304691,1.945997513653992,0.19635717458907193,117.05200000000039,94.06800000000027,22.984000000000123,5.79758441166814,5.129958114692916,0.885800129813566,4.244157984879359,31.741335011520267,2.9828361296019708,0.8848440575299656,0.1726720004353468,0.41754057176207815,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8875137927386669,0.8218012346464583,0.8522625077970533,0.8764044682537961,0.8094307639265047,0.7939027035334039,0.9895800513600553,0.819570017638223,0.8469829098012593
16,2027.3333333333333,12.640950025496151,2.0413346948893687,0.19711239449133738,117.05200000000039,93.97960000000029,23.0724000000001,5.789347450375788,5.122695276056724,0.8844097291923924,4.238285546864334,31.731619823517203,2.9324215764249315,0.884848477305367,0.17264539105538612,0.4170483230561193,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8876769389787401,0.8220238905900407,0.8526427630950744,0.876021111511234,0.8097573759152743,0.794117416838195,0.9888785191693127,0.8199986829348838,0.8473646455225897
17,2027.4166666666667,13.303926027835244,2.138637960205614,0.19760106619280335,117.05200000000039,93.9224000000003,23.129600000000096,5.786144416510897,5.1211863084611915,0.8840788295328129,4.237107478928373,31.72329314904405,2.8832879326074567,0.885077512729853,0.17263164748998558,0.417431072604751,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.887846705732221,0.8225474727561246,0.8530351176925889,0.8760964597084889,0.8101342654494622,0.7944302703838604,0.9887382968309499,0.8204367551867031,0.8477568376823299
18,2027.5,13.982802309557627,2.2379414458859563,0.1976188360728567,117.05200000000039,93.92032000000029,23.131680000000102,5.785857446877796,5.119533253886483,0.8826289359872004,4.236904317899278,31.71617229974315,2.835003716695791,0.8848357051467144,0.17240418065790558,0.4171313184081302,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.8880103659667399,0.8214881398154258,0.8534485881699785,0.8758368224232644,0.8105289141697939,0.7946800224396745,0.9881786273543128,0.8208941303270114,0.8481700190302451
19,2027.5833333333333,14.677547337119748,2.339279594668236,0.19836517103509563,117.05200000000039,93.8329600000003,23.219040000000092,5.781731719990297,5.117959266723856,0.8799002198006082,4.2380590469232535,31.709815531072167,2.7874578544486943,0.8851948714653342,0.17192403728602865,0.4177929432459597,34429.45545973385,0.0021538118562888005,0.0777208814166151,100.0,1982555.0,180000.0,0.888162574875073,0.8217609505497303,0.8530650069844702,0.8758889762171821,0.8108648565108837,0.7948960872917695,0.9886078710658188,0.8213119214052925,0.8485449157713906
