year,t,gdp_nom_bn,gdp_real_idx,human_nom_bn,human_pct_gdp,total_displaced_m,human_workers_m,net_without_income_m,know_auto_pct,phys_auto_pct,labor_income_bn,capital_income_bn,yeomen_income_bn,dao_income_bn,govt_dao_income_bn,govt_dao_cost_bn,compute_pool_bn,compute_dividend_k,yeomen_effective,levy_multiplier,labor_share_pct,gini_proxy,mpc_aggregate,tax_total_bn,tax_k_effective,tax_lost_leakage_bn,redistributable_bn,ubi_per_person_k,existing_spending_bn,interest_burden_bn,debt_gdp_ratio,interest_pct_revenue,fiscal_space_bn,effective_welfare_k,home_prod_avg_k,human_wage_k,r_ai_pct,r_yeomen_pct,r_land_pct,r_energy_pct,r_blended_pct,implied_pe,land_price_idx,energy_price_idx,nom_gdp_bn,nom_know_bn,nom_ai_svc_bn,nom_phys_bn,nom_energy_bn,energy_phase,nom_scarcity_bn,yeomen_friction_cost_bn,ai_svc_auto_pct
2025.0,0.0,29823.06822208,95.09906958571428,1823.0682220800004,6.11294655702213,0.0,0.1,0.0,0.0,0.0,13694.2919421056,8884.624000000002,772.576,0.0,0.0,0.0,0.0,0.0,0.08,1.0,60.65079464939331,0.5522549155021184,59.21838845002182,6915.77463332224,0.063,3109.6184000000003,0.0,0.0,7941.9596677472,1530.0,1.1400570775218741,22.12333514495989,-1026.1850344249597,2.4000000000000004,2.4000000000000004,14949.159421056002,28.000000000000004,8.0,7.000000000000001,7.000000000000001,16.352000000000004,6.11545988258317,100.0,100.0,29823.06822208,9240.0,4200.0,6160.0,1120.0,1,1400.0,139.06368,0.0
2026.0,1.0,30379.920995662033,102.20395425927855,1866.3681944109915,6.143426754393111,5.237712689340093,2.6188563446700464,2.6188563446700464,4.361950643218316,3.535248313226589,14059.89739145866,9033.385329209395,1373.7406261009683,0.0,0.0,0.0,0.0,0.0,0.132,1.0,60.88306093821523,0.5419077030371161,59.29561671579281,7168.896433776364,0.0717,3161.6848652232884,0.0,0.0,8061.683014067336,1530.0,1.1191602507740188,21.34219700526544,-892.7865802909728,2.4000000000000004,2.4000000000000004,584.3855935556606,26.717549123895836,8.0,7.000000000000001,8.200000000000001,14.769264490712846,6.77081787403033,103.49999999999999,117.14285714285712,30379.920995662033,9391.911590062236,4266.465211188805,6326.936000000001,1193.64,1,1484.0,247.27331269817427,5.116359947244006
2027.0,2.0,30941.48192198648,109.58608450172271,1920.509028265458,6.206907067695351,12.466157794863307,6.233078897431653,6.233078897431653,10.724287936935168,7.769631373025362,14323.968211036208,9282.318536862493,2093.071826939581,0.0,0.0,0.0,0.0,0.0,0.184,1.0,60.67861652282625,0.5337095036053557,59.22870212609849,7406.989702243323,0.0804,3248.811487901872,0.0,0.0,8182.418613227093,1530.0,1.098848467753582,20.656164805205755,-775.42891098377,2.4000000000000004,2.4000000000000004,252.65481619791154,25.51341635491645,8.0,7.000000000000001,9.4,13.473126042100308,7.422182475508937,107.12249999999999,134.28571428571428,30941.48192198648,9530.990142218585,4325.077955902436,6498.395965600002,1272.12183,1,1573.0400000000002,376.7529288491246,12.790366444886688
2028.0,3.0,31506.722935557358,117.21025218173754,1988.7172779791,6.31204102707459,21.9515296060849,10.97576480304245,10.97576480304245,19.43072054227204,12.716685369472353,14492.410183972872,9623.663024451496,2972.7545468200956,0.0,0.0,0.0,0.0,0.0,0.236,1.0,60.09440284378593,0.527101040179278,59.07827210837241,7632.774988459605,0.0891,3368.2820585580234,0.0,0.0,8303.945431144832,1530.0,1.0791347633818438,20.045134335982493,-671.1704426852266,2.4000000000000004,2.4000000000000004,148.5771786482545,24.382818877581027,8.0,7.000000000000001,10.600000000000001,12.421374569199495,8.050638795481117,110.87178749999997,151.42857142857142,31506.722935557358,9653.897511621306,4374.17914436669,6674.502496267763,1355.7638403224998,1,1667.4224000000004,535.0958184276171,23.387582965198536
2029.0,4.0,32078.933552269897,125.04991861575274,2072.03375405107,6.459172810950424,33.488609798572064,16.744304899286032,16.744304899286032,30.359486877129765,18.330985387078893,14616.278940395276,10009.20400662332,4048.6667891959496,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,1.0,59.35428341381977,0.5208745925283017,58.974235068844514,7856.821173243163,0.0978,3503.221402318162,0.0,0.0,8426.970713738028,1530.0,1.0598856082481636,19.473524549731376,-570.1495404948655,2.4000000000000004,2.4000000000000004,101.47137719609518,23.321265958594655,8.0,7.000000000000001,11.8,11.577872284745869,8.63716558108457,114.75230006249997,168.57142857142858,32078.933552269897,9760.883226711592,4414.982937091912,6855.38151391662,1444.905312823704,1,1767.4677440000005,728.760022055271,36.465608192477546
2030.0,5.0,32665.564227992712,133.0902908529023,2165.988600570812,6.6308011257759665,46.219381727815744,23.109690863907872,23.109690863907872,42.6830475639887,24.496427718793655,14792.713256156381,10349.780099914404,5331.7048999559065,0.0,0.0,0.0,0.0,0.0,0.34,1.0,58.83550627481663,0.513423040088978,59.074932430481674,8096.636085698394,0.1065,3622.423034970041,0.0,0.0,8553.096309018434,1530.0,1.040851453313142,18.896736667003434,-456.4602233200403,2.4000000000000004,2.4000000000000004,76.85566470479925,22.324541109655186,8.0,7.000000000000001,13.0,10.911694619291664,9.164479348899844,118.76863056468746,185.7142857142857,32665.564227992712,9857.945200415617,4452.581759924038,7041.162352943761,1539.9078371418623,1,1873.5158086400006,959.7068819920631,50.53890773307798
2031.0,6.0,33274.70116661246,141.31699380075892,2259.7601501567024,6.791225979285806,58.85064901132468,29.42532450566234,29.42532450566234,55.006608250847655,31.027366840551007,15131.856233064766,10544.98733969526,6798.741837435103,0.0,0.0,0.0,0.0,0.0,0.392,1.0,58.93191735263677,0.503430356770549,59.48600071318174,8369.935098138814,0.1152,3690.745568893341,0.0,0.0,8684.060750821678,1530.0,1.0217973056994814,18.279711635281608,-314.1256526828638,2.4000000000000004,2.4000000000000004,62.97308030611254,21.388685339561302,8.0,7.000000000000001,14.200000000000001,10.396391064943861,9.618722436980585,122.9255326344515,202.85714285714283,33274.70116661246,9955.972355909089,4494.116918230947,7231.977852708538,1641.1567774339396,1,1985.9267571584007,1223.7735307383184,63.61693296035698
2032.0,7.0,33935.07594843766,149.80495825407698,2364.262041380318,6.967015618213656,70.20822191525846,32.311581232197675,37.89664068306079,65.93537458570538,37.68652158287077,15730.096236190917,10524.891109599503,8404.76915946435,0.0,0.0,0.0,0.0,0.0,0.444,1.0,59.91279305915565,0.49038539870683695,60.16952112682986,8688.433416673402,0.12390000000000001,3683.7118883598255,0.0,0.0,8826.041328914096,1530.0,1.0019131842127298,17.609618749726245,-137.60791224069362,2.4000000000000004,2.4000000000000004,60.0,20.509981429099035,8.0,7.000000000000001,15.400000000000002,10.009349388862498,9.990659344079944,127.22792627665729,220.00000000000003,33935.07594843766,10066.30570268782,4545.137150474693,7427.964452516939,1749.062835550221,1,2105.0823625879048,1512.8584487035828,74.21414948066882
2033.0,8.0,34629.03274383015,158.82623258317386,2454.14415426081,7.086955539345998,79.66265842411025,33.53997010823107,46.12268831587918,74.64180719104225,44.21746070462812,16596.984919854316,10268.908384352562,10105.909838569189,0.0,0.0,0.0,0.0,0.0,0.49600000000000005,1.0,61.77715638160234,0.47491225294492356,61.09300566176301,9050.066153521182,0.13260000000000002,3594.1179345233963,74.82411359770049,1.6211341495264044,8975.242039923482,1530.0,0.9818351049974903,16.905953769240796,74.82411359770049,4.021134149526405,2.4000000000000004,60.0,19.6849391662467,8.0,7.000000000000001,16.6,9.731248925906955,10.276173260122413,131.6809036963403,237.14285714285714,34629.03274383015,10196.116261198478,4607.578293271444,7629.262289180148,1864.063716987648,2,2231.387304343179,1819.0637709424539,81.88815597831152
2034.0,9.0,35293.93327569736,168.11259953746494,2524.3021543094246,7.15222679940749,87.14320367033962,34.49879610889547,52.64440756144415,81.0041444847591,50.38290303634289,17691.25068028584,9776.09143520961,11852.429439147934,0.0,0.0,0.0,0.0,0.0,0.548,1.0,64.40830935114572,0.45798518942862393,62.17964424855318,9434.464819910596,0.1413,3421.6320023233634,316.26916563566374,5.991907010428652,9118.195654274932,1530.0,0.9633383656735042,16.21713609839396,316.26916563566374,8.391907010428653,2.4000000000000004,60.0,18.91028148305236,8.0,7.000000000000001,17.8,9.545590616169477,10.476041139938255,136.2897353257122,254.28571428571428,35293.93327569736,10347.103743738857,4680.49345144555,7836.015297216932,1930.2379789407096,2,2365.27054260377,2133.437299046628,87.00451592555551
2035.0,10.0,35981.58253478448,177.45285070053322,2574.177925393706,7.154154275746963,92.90092418890796,35.180431647047314,57.72049254186065,85.36609512797742,55.99720305394943,18992.239321107947,9098.683997738974,13648.025996608458,0.0,0.0,0.0,0.0,0.0,0.6,1.0,67.60987919669257,0.44069233824926074,63.36961373240554,9842.35879216529,0.15,3184.5393992086406,576.3185471866273,9.941234046520963,9266.040244978663,1530.0,0.9449278660028689,15.545054110584852,576.3185471866273,12.341234046520963,2.4000000000000004,60.00000000000001,18.18293143911961,8.0,7.000000000000001,18.0,9.288293143911961,10.766240734504088,141.0598760621121,257.1428571428571,35981.58253478448,10517.216837055988,4761.782884581411,8048.3713117715115,1998.7614271931047,2,2507.1867751599966,2456.6446793895225,90.23036669427772
2036.0,11.0,36762.14369802953,187.12527098901302,2671.87511688992,7.268006835610986,97.2809456228751,36.51562659749557,60.765319025379526,88.22734919017616,60.94425705039641,19283.547545048314,9503.88102418923,14255.821536283842,0.0,0.0,0.0,0.0,0.0,0.6,1.0,66.98600223590256,0.4424391937394728,63.19896389558597,10074.84682456311,0.15,3326.35835846623,640.985929486762,10.50010930070824,9433.860895076348,1530.0,0.924864455111262,15.1863351040709,640.985929486762,12.900109300708241,2.4000000000000004,59.99999999999999,17.5,8.0,7.000000000000001,18.0,9.141648600098065,10.938945957617237,145.99697172428603,257.1428571428571,36762.14369802953,10703.005751408298,4849.39183632327,8266.482174320521,2069.71745785846,2,2657.6179816695967,2566.0478765310913,92.19317213844866
2037.0,12.0,37575.5999943799,196.7615896065853,2768.0284050256546,7.366558100042747,100.60212492034353,37.82972153535061,62.77240338499292,90.05019575898123,65.17864011019519,19633.484610606356,9878.476143680255,14817.714215520382,0.0,0.0,0.0,0.0,0.0,0.6,1.0,66.52721170942392,0.443723807213613,63.071596391041176,10322.605124931328,0.15,3457.466650288089,713.8511261396488,11.315775813657757,9608.753998791679,1530.0,0.9048425043135786,14.82183985033699,713.8511261396488,13.715775813657757,2.4000000000000004,60.0,16.85877456194792,8.0,7.000000000000001,18.0,9.01272224242686,11.095426810032587,151.10686573463602,257.1428571428571,37575.5999943799,10901.145757591621,4941.755633715752,8490.503841244608,2143.1924276124355,2,2817.0750605697726,2667.1885587936686,93.36171348576391
2038.0,13.0,38419.65101046485,206.26166711638686,2863.164332416731,7.452343415708943,103.12055631974955,39.12991254302866,63.990643776720894,91.18997745766664,68.71388842342178,20030.016087148866,10231.769659810947,15347.654489716422,0.0,0.0,0.0,0.0,0.0,0.6,1.0,66.18914116514469,0.4446704047375949,62.97219810553353,10583.825598593867,0.15,3581.119380933831,793.6006313439248,12.334921608365558,9790.224967249942,1530.0,0.8849637908147314,14.456020516846676,793.6006313439248,14.734921608365559,2.4000000000000004,59.99999999999999,16.256708177458222,8.0,7.000000000000001,18.0,8.89934862751383,11.236777452546722,156.39560603534827,257.1428571428571,38419.65101046485,11109.029932777223,5037.821753001679,8720.596495342339,2219.2757587926767,2,2986.0995642039593,2762.5778081489557,94.04838731223244
2039.0,14.0,39293.23682518979,215.52776246763042,2957.8525467398663,7.527637796547395,105.03147200241983,40.42398480544484,64.607487196975,91.89434106047852,71.60458812290483,20464.51560456415,10570.880538422365,15856.320807633547,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.93927627113209,0.4453700264408301,62.89097402651732,10857.316600838272,0.15,3699.8081884478274,879.2706834224664,13.528901888306171,9978.045917415806,1530.0,0.8652888575013895,14.091879754909897,879.2706834224664,15.928901888306171,2.4000000000000004,59.99999999999999,15.691409438790515,8.0,7.000000000000001,18.0,8.799628657625606,11.364115906566322,161.86945224658544,257.1428571428571,39293.23682518979,11324.825497613456,5136.9320938912815,8956.924660366116,2298.0600482298164,2,3165.265538056197,2854.1377453740383,94.4488128069382
2040.0,15.0,40196.18946562181,224.46596101994945,3052.62481713087,7.594313933020088,106.48173455045898,41.71920583412189,64.7625287163371,92.3264722767629,73.92825958206605,20930.980016478847,10901.19420347882,16351.791305218228,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.75416392184688,0.44588834101882874,62.821621281898466,11142.363460844985,0.15,3815.417971217587,970.1827257362966,14.883111287522748,10172.180735108688,1530.0,0.8458513220283937,13.731377596651939,970.1827257362966,17.28311128752275,2.4000000000000004,60.0,15.16063297929733,8.0,7.000000000000001,18.0,8.711896705585959,11.47855666560891,167.53488307521593,257.1428571428571,40196.18946562181,11547.328658102668,5238.696332016482,9199.657318662037,2379.6411799419748,2,3355.181470339569,2943.322434939281,94.68127105712288
2041.0,16.0,41128.9427744904,232.98766796125307,3147.9535892727654,7.65386459489845,107.58203904232158,43.022032386727794,64.56000665559378,92.59040614828248,75.77063868485487,21425.28196022749,11226.820271578767,16840.23040736815,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.61685311445959,0.4462728112795131,62.76002656505098,11438.59220221567,0.15,3929.387095052568,1065.8695057002333,16.391398786415127,10372.722696515437,1530.0,0.8266684652319335,13.375771886540697,1065.8695057002333,18.79139878641513,2.4000000000000004,60.0,14.662270554827595,8.0,7.000000000000001,18.0,8.634691805225234,11.581189260221839,173.39860398284847,257.1428571428571,41128.9427744904,11775.788282639433,5342.894885404467,9448.968031997778,2464.1184418299154,2,3556.492358559943,3031.241473326267,94.81586833765742
2042.0,17.0,42092.32434267694,241.01126551707645,3244.251626214528,7.707466092399221,108.41627379133025,44.33810555826521,64.07816823306504,92.75117027647086,77.2155630203902,21944.606693377365,11550.94468565862,17326.41702848793,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.51498867730817,0.44655803170353714,62.70346540433365,11745.865577193113,0.15,4042.830639980517,1166.0158435175708,18.053104802474472,10579.849733675543,1530.0,0.8077482184923624,13.025859949996304,1166.0158435175708,20.45310480247447,2.4000000000000004,60.00000000000001,14.194342669780651,8.0,7.000000000000001,18.0,8.566732404080165,11.673062176235597,179.46755512224814,257.1428571428571,42092.32434267694,12009.759258833239,5449.413518444729,9705.035065664919,2551.5946465148777,2,3769.88190007354,3118.755065127827,94.89368486469277
2043.0,18.0,43087.41779399551,248.46382831365835,3341.8778868881814,7.756041224995134,109.04827130532234,45.67233112080514,63.375940184517205,92.84893016757997,78.33910897472732,22487.06171559047,11876.078764200587,17814.118146300876,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.43948370730288,0.44676944561955195,62.65011079516801,12064.21104971824,0.15,4156.627567470206,1270.4162240092046,19.871511190052665,10793.794825709036,1530.0,0.7890934695264589,12.682138879158064,1270.4162240092046,22.271511190052664,2.4000000000000004,60.00000000000001,13.75499071454952,8.0,7.000000000000001,18.0,8.506894237390986,11.755171418549269,185.74891955152682,257.1428571428571,43087.41779399551,12248.996400639873,5558.20190939315,9968.04151594444,2642.1762564661562,2,3996.0748140779524,3206.5412663341576,94.9386347055074
2044.0,19.0,44115.476591712795,255.28272985956363,3441.1447832396652,7.800311929274482,109.52668622786601,47.028978704275424,62.497707523590584,92.90831736076916,79.20695151006784,23051.412798270456,12204.233462832193,18306.350194248284,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.38360586997081,0.4469259035640817,62.59872628116548,12393.77290505571,0.15,4271.481711991268,1378.9454378374594,21.853069591275734,11014.82746721825,1530.0,0.7707045832161992,12.344909106539118,1378.9454378374594,24.253069591275732,2.4000000000000004,60.0,13.34246958312335,8.0,7.000000000000001,18.0,8.45419093705894,11.828452982017485,192.25013173583025,257.1428571428571,44115.476591712795,12493.382742903925,5669.248243954857,10238.175441026533,2735.973513570705,2,4235.83930292263,3295.1430349646907,94.96458637877325
2045.0,20.0,45177.87277571604,261.416978524246,3542.325391547726,7.840841487011742,109.88859896122247,48.41178035115226,61.47681861007021,92.94437172723656,79.87383919046685,23636.90496796739,12537.04383380983,18805.565750714744,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.34234096888562,0.4470414452871202,62.548469667816875,12734.780868474641,0.15,4387.96534183344,1491.5382216956932,24.00707220532479,11243.242646778948,1530.0,0.7525808080604371,12.014341006742912,1491.5382216956932,26.407072205324788,2.4000000000000004,60.0,12.955140741526181,8.0,7.000000000000001,18.0,8.40775703707631,11.893778514177155,198.9788863465843,257.1428571428571,45177.87277571604,12742.882837906142,5782.563915462873,10515.629995478354,2833.1005733024654,2,4489.989661097988,3385.001835128654,94.97956514549121
2046.0,21.0,46276.06830149431,266.82815728163337,3645.6601881034558,7.878068128760482,110.16223547094452,49.82402257074723,60.33821290019729,92.96625240687183,80.3842776654228,24243.13927124952,12875.860503970642,19313.790755955964,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.31194110309437,0.4471265649113358,62.49876467716003,13087.529589742986,0.15,4506.551176389724,1608.1749049217087,26.34559015322639,11479.354684821277,1530.0,0.7347210177512443,11.690517981323978,1608.1749049217087,28.745590153226388,2.4000000000000004,60.0,12.591465719559805,8.0,7.000000000000001,18.0,8.366833078862028,11.951953511853853,205.94314736871473,257.1428571428571,46276.06830149431,12997.512975147669,5898.1744065316125,10800.603568355818,2933.6756436547025,2,4759.389040763867,3476.4823360720734,94.98820912489396
2047.0,22.0,47411.600529608375,271.4908900202669,3751.36314247111,7.9123317934149835,110.36904759083146,51.268629613771836,59.10041797705962,92.979528348842,80.77378549896225,24869.986402357274,13221.81860065209,19832.72790097813,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.28959811800064,0.4471891252695982,62.449215519464296,13452.365203464855,0.15,4627.636510228232,1728.8710895990553,28.88359282280206,11723.4941138658,1530.0,0.7171240713286429,11.373464642529374,1728.8710895990553,31.283592822802063,2.4000000000000004,60.0,12.250000000000002,8.0,7.000000000000001,18.0,8.330752556662999,12.003717469680366,213.1511575266197,257.1428571428571,47411.600529608375,13257.322430400562,6016.113888816271,11093.29992505826,3037.8211290044446,2,5044.952383209699,3569.8910221760634,94.99319692736654
2048.0,23.0,48586.07634570404,275.39280826023617,3859.6270929475954,7.943895418689973,110.52531297818588,52.74823693695046,57.77707604123542,92.98758232197846,81.07032527068364,25517.525182157664,13575.890585272728,20363.83587790909,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.27320440343023,0.4472350276703953,62.39954928216386,13829.676516542826,0.15,4751.561704845454,1853.670102216458,31.63921080602027,11976.006414326368,1530.0,0.6997889633663795,11.063165491758536,1853.670102216458,34.03921080602027,2.4000000000000004,60.0,11.92938728097396,8.0,7.000000000000001,18.0,8.298930475358327,12.04974548189383,220.61144804005139,257.1428571428571,48586.07634570404,13522.381751327703,6136.422038398313,11393.928353027337,3145.6637790841023,2,5347.649526202282,3665.4904580236357,94.99607485885242
2049.0,24.0,49801.17142690812,278.5340389724962,3970.6283878191266,7.972961828110236,110.64336606401321,54.265254633528066,56.37811143048514,92.99246793186067,81.29568876674585,26185.998194481235,13938.927175863402,20908.3907637951,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.26117607145675,0.4472687069999211,62.349576724738384,14219.889258389647,0.15,4878.624511552191,1982.637401604401,34.634133974007135,12237.251856785246,1530.0,0.6827148644465304,10.759577463638188,1982.637401604401,37.03413397400713,2.4000000000000004,59.99999999999999,11.628354088729113,8.0,7.000000000000001,18.0,8.270853321194384,12.090650881662489,228.3328487214532,257.1428571428571,49801.17142690812,13792.775477247415,6259.142164534842,11702.703811394376,3257.334843241588,2,5668.508497774419,3763.5103374831183,94.99773535404773
2050.0,25.0,51058.63251597932,280.9262723263063,4084.5308222851563,7.999687067621446,110.73254294596214,55.36627147298107,55.36627147298107,92.99543143519962,81.46673039758637,26875.77953631081,14311.689235074831,21467.533852612243,0.0,0.0,0.0,0.0,0.0,0.6,1.0,65.25232149003132,0.4472934998279123,62.29916544125821,14623.462391874531,0.15,5009.091232276191,2115.8564009389775,37.89415536856306,12507.605990935554,1530.0,0.6659011086785247,10.462638457292703,2115.8564009389775,40.29415536856306,2.4000000000000004,60.49378412465982,11.345704719395258,8.0,7.000000000000001,18.0,8.24607027067713,12.12698857971149,236.32449842670403,257.1428571428571,51058.63251597932,14068.59763284444,6384.320114640102,12019.847084683166,3372.9702301766642,2,6008.619007640885,3864.156093470204,94.99869340079333
